train_file:/home/syp/zwr/txtgen/examples/long_text/yahoo_data/yahoo.train.txt
valid_file:/home/syp/zwr/txtgen/examples/long_text/yahoo_data/yahoo.valid.txt
logdir:./log_dir/yahoo.bsize128.epoch150.seqlen16.random.present0.5.partition2.hidden512.seq2seq/
step:69601 source:(128, 18) loss:3.46757
step:69801 source:(128, 18) loss:3.46127
step:70001 source:(128, 18) loss:3.45876
step:70201 source:(128, 18) loss:3.42003
epoch:90 test_bleu:44.41711902618408 template_bleu:41.23408496379852
epoch:90 train_bleu:45.251789689064026 template_bleu:41.36615693569183
step:70401 source:(128, 18) loss:3.52277
step:70601 source:(128, 18) loss:3.51058
step:70801 source:(128, 18) loss:3.46682
step:71001 source:(128, 18) loss:3.44722
step:71201 source:(128, 18) loss:3.47335
step:71401 source:(128, 18) loss:3.488
step:71601 source:(128, 18) loss:3.47277
step:71801 source:(128, 18) loss:3.44512
step:72001 source:(128, 18) loss:3.48326
step:72201 source:(128, 18) loss:3.49762
step:72401 source:(128, 18) loss:3.4795
step:72601 source:(128, 18) loss:3.46156
step:72801 source:(128, 18) loss:3.49172
step:73001 source:(128, 18) loss:3.52929
step:73201 source:(128, 18) loss:3.45142
step:73401 source:(128, 18) loss:3.48136
step:73601 source:(128, 18) loss:3.40328
step:73801 source:(128, 18) loss:3.50224
step:74001 source:(128, 18) loss:3.4727
step:74201 source:(128, 18) loss:3.50046
epoch:95 test_bleu:45.17233669757843 template_bleu:41.53335690498352
epoch:95 train_bleu:45.411744713783264 template_bleu:41.22205674648285
step:74401 source:(128, 18) loss:3.4958
step:74601 source:(128, 18) loss:3.51803
step:74801 source:(128, 18) loss:3.49711
step:75001 source:(128, 18) loss:3.42726
step:75201 source:(128, 18) loss:3.50919
step:75401 source:(128, 18) loss:3.41602
step:75601 source:(128, 18) loss:3.46687
step:75801 source:(128, 18) loss:3.49085
step:76001 source:(128, 18) loss:3.45912
step:76201 source:(128, 18) loss:3.47753
step:76401 source:(128, 18) loss:3.47028
step:76601 source:(128, 18) loss:3.50796
step:76801 source:(128, 18) loss:3.47817
step:77001 source:(128, 18) loss:3.56547
step:77201 source:(128, 18) loss:3.47821
step:77401 source:(128, 18) loss:3.50754
step:77601 source:(128, 18) loss:3.48367
step:77801 source:(128, 18) loss:3.48234
step:78001 source:(128, 18) loss:3.54661
epoch:100 test_bleu:44.76250112056732 template_bleu:41.511449217796326
epoch:100 train_bleu:45.44699192047119 template_bleu:41.16763472557068
step:78201 source:(128, 18) loss:3.52526
step:78401 source:(128, 18) loss:3.49414
step:78601 source:(128, 18) loss:3.5113
step:78801 source:(128, 18) loss:3.4832
step:79001 source:(128, 18) loss:3.52212
step:79201 source:(128, 18) loss:3.49441
step:79401 source:(128, 18) loss:3.46063
step:79601 source:(128, 18) loss:3.48456
step:79801 source:(128, 18) loss:3.40001
step:80001 source:(128, 18) loss:3.48778
step:80201 source:(128, 18) loss:3.50368
step:80401 source:(128, 18) loss:3.52821
step:80601 source:(128, 18) loss:3.45363
step:80801 source:(128, 18) loss:3.43445
step:81001 source:(128, 18) loss:3.5356
step:81201 source:(128, 18) loss:3.50506
step:81401 source:(128, 18) loss:3.49909
step:81601 source:(128, 18) loss:3.43896
step:81801 source:(128, 18) loss:3.46828
step:82001 source:(128, 18) loss:3.46153
epoch:105 test_bleu:45.14095187187195 template_bleu:41.46801829338074
epoch:105 train_bleu:45.52462995052338 template_bleu:41.19011461734772
step:82201 source:(128, 18) loss:3.48877
step:82401 source:(128, 18) loss:3.39792
step:82601 source:(128, 18) loss:3.50283
step:82801 source:(128, 18) loss:3.47101
step:83001 source:(128, 18) loss:3.4368
step:83201 source:(128, 18) loss:3.49582
step:83401 source:(128, 18) loss:3.5382
step:83601 source:(128, 18) loss:3.45566
step:83801 source:(128, 18) loss:3.46189
step:84001 source:(128, 18) loss:3.47001
step:84201 source:(128, 18) loss:3.41702
step:84401 source:(128, 18) loss:3.51661
step:84601 source:(128, 18) loss:3.44679
